STATUS,DATA SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO,SIGLA
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2007.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2014,GANA,M,1982.0,CRICIÚMA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2013,GANA,M,1978.0,CRICIÚMA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,GANA,M,1969.0,BRASÍLIA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,GANA,M,1986.0,BRASÍLIA,2018-06-29,GH
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1987.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2000.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1976.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,GUINÉ,F,1980.0,SÃO PAULO,2018-06-29,GN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CAMARÕES,M,1998.0,SÃO PAULO,2018-06-29,CM
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1994.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1975.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1981.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,GUINÉ,M,1993.0,FORTALEZA,2018-06-29,GN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,SÍRIA,F,2013.0,FOZ DO IGUAÇU,2018-06-29,SY
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,SÍRIA,M,2012.0,GUARULHOS,2018-06-29,SY
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VIETNÃ,F,1979.0,RIO DE JANEIRO,2018-06-29,VN
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,2003.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,REP. DEM. DO CONGO,F,2014.0,SÃO PAULO,2018-06-29,CD
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2012,HAITI,M,1977.0,BRASILÉIA,2018-06-29,HT
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1989.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1985.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1993.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1993.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1980.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2014.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1975.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1995.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1970.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1957.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,F,1968.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1980.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1996.0,FLORIANÓPOLIS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,2009.0,SÃO PAULO,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,2003.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1987.0,MACAÉ,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1969.0,FLORIANÓPOLIS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2018,VENEZUELA,M,1977.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,CUBA,M,1992.0,BRASÍLIA,2018-06-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1985.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2016,VENEZUELA,M,1997.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1989.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,M,1983.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,1970.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2000.0,FLORIANÓPOLIS,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,VENEZUELA,F,2001.0,BOA VISTA,2018-06-29,VE
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CUBA,F,1972.0,SALVADOR,2018-06-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CUBA,F,1975.0,BELO HORIZONTE,2018-06-29,CU
EXTINÇÃO (SEM RESOLUÇÃO DO MÉRITO) ART.6-B ,2017,CHINA,F,1975.0,SÃO PAULO,2018-06-29,CN
