STATUS;DATA SOLICITAÇÃO;PAÍS DE ORIGEM;GÊNERO;ANO DE NASCIMENTO;CIDADE SOLICITAÇÃO;DATA DA  DECISÃO
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1985;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1995;SÃO PAULO;30/03/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;M;1984;BRASÍLIA;26/01/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1991;SÃO PAULO;26/01/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;1996;BRASÍLIA;21/02/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2017;REP. DEM. DO CONGO;F;2016;BRASÍLIA;30/03/2018
ELIGIBILIDADE - INDEFERIDO;2014;LÍBANO;M;1960;CAMPINAS;29/06/2018
CESSAÇÃO;2018;ARGENTINA;M;1993;BRASÍLIA;25/05/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2017;VENEZUELA;F;1984;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1982;SÃO PAULO;30/03/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2018;CUBA;F;1995;VITÓRIA;25/05/2018
ELIGIBILIDADE - DEFERIDO;2014;EGITO;M;1995;SÃO PAULO;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2013;GUINÉ-BISSAU;M;1990;BARRACÃO;26/01/2018
ELIGIBILIDADE - INDEFERIDO;2015;ANGOLA;F;1970;SÃO PAULO;25/05/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2018;REP. DEM. DO CONGO;F;2014;BRASÍLIA;29/06/2018
ELIGIBILIDADE - INDEFERIDO;2015;BANGLADESH;M;1982;SÃO PAULO;21/02/2018
ELIGIBILIDADE - DEFERIDO;2015;SÍRIA;M;1997;SÃO PAULO;21/02/2018
EXTENSÃO DOS EFEITOS DA CONDIÇÃO DE REFUGIADO - DEFERIDO;2016;REP. DEM. DO CONGO;M;1996;RIO DE JANEIRO;25/05/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2016;CHINA;M;1996;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2015;AFEGANISTÃO;M;1993;BRASÍLIA;25/05/2018
ELIGIBILIDADE - INDEFERIDO;2013;SENEGAL;M;1980;SÃO PAULO;27/04/2018
ELIGIBILIDADE - DEFERIDO;2017;SÍRIA;M;1999;SÃO PAULO;27/07/2018
EXTINÇÃO (DESISTÊNCIA SEM FORMULÁRIO PRÓPRIO);2014;GUINÉ-BISSAU;F;1981;CASCAVÉL;27/07/2018
